work_id,sanctioned_work_description,original_work_category,ai_work_category,effective_work_category,old_peer_median,new_peer_median,old_ratio,new_ratio,old_level,new_level,financial_explanation
WS/MP391/2025-2026/146422,"CONSTRUCTION OF BOXING ACADEMY BUILDING IN GOPALAPURAM WARD 111, PART 25, ZONE 9 OF CHENNAI CENTRAL CONSITUENCY",Normal/Others,Other / Unclassified,Other / Unclassified,599049.0,699258.0,16.693097404223355,14.30085275985007,HIGH,CRITICAL,Sanction amount is 14.3x the peer median for 'Other / Unclassified' in TAMIL NADU (1577 comparable works) | Sanction amount is at the 99.8th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP484/2024-2025/150090,"CONSTRUCTION OF PROPOSED G+V STORIED EDUCATIONAL BUILDING FOR USE OF ENGLISH MEDIUM SCHOOL, 17 DEBI CHOWDHURY ROAD, KOLKATA - 700024 UNDER WARD NO. 79",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,350000.0,704860.5,28.571346939008745,14.187184290814578,HIGH,CRITICAL,Sanction amount is 14.2x the peer median for 'School / Education Infrastructure' in WEST BENGAL (232 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 99.6th percentile within comparable work-category/state projects
WS/MP18325/2025-2026/228447,"Construction of community hall at Ruva, Bhavnagar as per plan attached",Normal/Others,Community Buildings,Community Buildings,250000.0,500000.0,43.999824000703995,21.999956000087998,HIGH,CRITICAL,Sanction amount is 22.0x the peer median for 'Community Buildings' in GUJARAT (152 comparable works) | Description-based classification: Community Buildings (98% confidence) | Sanction amount is at the 99.7th percentile within comparable work-category/state projects
WS/MP18180/2025-2026/204508,Construction of Two Classroom Building at Thiruppanjeeli Govt. Hsc School in Mannachanallur Block,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,8.148835656456056,12.203869490326275,HIGH,CRITICAL,Sanction amount is 12.2x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 99.0th percentile within comparable work-category/state projects | Single vendor payment captures 96.4% of total project disbursals
WS/MP858/2025-2026/181123,"Construction of PCC Road from Charkolgram high school to Poultry Farm under Charkolgram GP,Executing Agency will be E.O. NANOOR Panchayet Samity.",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,350000.0,704860.5,14.285673469504372,7.093592145407289,HIGH,CRITICAL,Sanction amount is 7.1x the peer median for 'School / Education Infrastructure' in WEST BENGAL (232 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 98.3th percentile within comparable work-category/state projects
WS/MP18277/2025-2026/149810,"Construction of community hall at Bhatar bazar Plot No:2816/2817/2806, JL No:-63, Mouza:-Palar",Normal/Others,Community Buildings,Community Buildings,350000.0,1000000.0,28.571346939008745,9.99999000001,HIGH,CRITICAL,Sanction amount is 10.0x the peer median for 'Community Buildings' in WEST BENGAL (93 comparable works) | Description-based classification: Community Buildings (98% confidence) | Sanction amount is at the 98.9th percentile within comparable work-category/state projects
WS/MP747/2025-2026/214835,Construction of additional Class Room Building in Periyar Nagar Hr. Sec. School at Sattur Municipality.,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,8.346548702111678,12.499968750078125,HIGH,CRITICAL,Sanction amount is 12.5x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 99.4th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP457/2024-2025/159001,"Construction of Student Study centre through additional building near the existing Library in Master Plan Complex, Collectorate Viluppuram",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,8.324353559803022,12.466728833177918,HIGH,CRITICAL,Sanction amount is 12.5x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 99.2th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP18019/2026-2027/139500,"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,500000.0,500000.0,9.99998000004,9.99998000004,HIGH,CRITICAL,Sanction amount is 10.0x the peer median for 'School / Education Infrastructure' in ASSAM (118 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 99.6th percentile within comparable work-category/state projects | Single vendor payment captures 98.3% of total project disbursals
WS/MP867/2025-2026/224833,CONSTRUCTION OF  NEW DINING HALL CUM KITCHEN BUILDING OF RAMKRISHNA MATH COSSIPORE UDYAN BATI,Normal/Others,Other / Unclassified,Other / Unclassified,350000.0,448000.0,14.285673469504372,11.16068937346122,HIGH,CRITICAL,Sanction amount is 11.2x the peer median for 'Other / Unclassified' in WEST BENGAL (1061 comparable works) | Sanction amount is at the 98.9th percentile within comparable work-category/state projects
WS/MP18271/2025-2026/167569,"construction   and   necessary    other allied works    for  Refugee Relief and Rehabilitation Building, Cooch Behar",Normal/Others,Other / Unclassified,Other / Unclassified,350000.0,448000.0,14.285673469504372,11.16068937346122,HIGH,CRITICAL,Sanction amount is 11.2x the peer median for 'Other / Unclassified' in WEST BENGAL (1061 comparable works) | Sanction amount is at the 98.9th percentile within comparable work-category/state projects
WS/MP18009/2024-2025/157138,construction of community hall at Survey No. 294-2 of Parigi village,Normal/Others,Community Buildings,Community Buildings,497329.0,1000000.0,16.085898699052944,7.999992000008,HIGH,CRITICAL,Sanction amount is 8.0x the peer median for 'Community Buildings' in ANDHRA PRADESH (210 comparable works) | Description-based classification: Community Buildings (98% confidence) | Sanction amount is at the 99.5th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP858/2025-2026/181835,"Construction of CC Road at 1. Paschimpara idgaha to sk Sajal house via Raficul Islam house.2. Abdul Hakim House to Sardar ALI Shop and Ajmal Haque house at METEKONA VILL UNDER ILLAMBAZAR BLOCK ,Executing Agency will be E.O. SSDA,Bolpur, BIBHUM W.B.",Normal/Others,Roads,Roads,350000.0,349818.0,12.451907280264914,12.45838562227895,HIGH,CRITICAL,Sanction amount is 12.5x the peer median for 'Roads' in WEST BENGAL (1023 comparable works) | Description-based classification: Roads (98% confidence) | Sanction amount is at the 98.7th percentile within comparable work-category/state projects
WS/MP866/2025-2026/213688,"Construction of compound wall at Old Block Vyasarpadi 192 tenements  in division 46 Colony, Perambur  Constituency.",Normal/Others,Boundary Walls,Boundary Walls,599049.0,1000000.0,12.519823053167515,7.4999925000075,HIGH,CRITICAL,Sanction amount is 7.5x the peer median for 'Boundary Walls' in TAMIL NADU (55 comparable works) | Description-based classification: Boundary Walls (98% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP756/2026-2027/171038,Construction of Two Class Room Building at Government Higher Secondary School Thirumanur Panchayat in Thirumanur Block.,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,7.511893831900509,11.249971875070312,HIGH,CRITICAL,Sanction amount is 11.2x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 98.8th percentile within comparable work-category/state projects
WS/MP18186/2026-2027/212286,Construction of Additional 2 classroom Building  for Govt.Girls Higher secondary school at Manavalanagar at Vengathur Panchayat in Kadambathur Block.,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,6.6772389616893415,9.9999750000625,HIGH,CRITICAL,Sanction amount is 10.0x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 98.2th percentile within comparable work-category/state projects | Single vendor payment captures 94.5% of total project disbursals
WS/MP18120/2025-2026/174636,Construction of Bridge with approch Road towards Primary Health Cement At. Ashti Tq. Hadgaon Dist Nanded.,Normal/Others,Healthcare Infrastructure,Healthcare Infrastructure,995698.0,1000000.0,7.972622248289895,7.938324061675939,HIGH,CRITICAL,Sanction amount is 7.9x the peer median for 'Healthcare Infrastructure' in MAHARASHTRA (10 comparable works) | Description-based classification: Healthcare Infrastructure (98% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP18355/2025-2026/158359,"Construction of Yoga Center at Pulakeshi Nagar Ward No-78 Stephens Road,Elephants Park",Normal/Others,Roads,Roads,500000.0,500000.0,5.999988000024,5.999988000024,HIGH,CRITICAL,Sanction amount is 6.0x the peer median for 'Roads' in KARNATAKA (553 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP18217/2024-2025/136145,developement of inerlocking road from dabur road to village side 500 meters by 3.5 meters,Normal/Others,Roads,Roads,231884.0,866673.0,18.528007417469865,4.957304592038067,HIGH,CRITICAL,Sanction amount is 5.0x the peer median for 'Roads' in UTTAR PRADESH (2286 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.7th percentile within comparable work-category/state projects
WS/MP18008/2025-2026/185945,Construction of SKBM Municipal Corporation High School Building (1st and 2nd Floor) at AT Agraharm in Division No 24,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,497329.0,495089.0,8.793539500934992,8.833325253994223,HIGH,CRITICAL,Sanction amount is 8.8x the peer median for 'School / Education Infrastructure' in ANDHRA PRADESH (204 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 99.0th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP791/2025-2026/252116,bhadariya chandradeep ghat marg khantara D Y se pikaura tak 800 meetr pich road kary,Normal/Others,Roads,Roads,231884.0,866673.0,28.46238437156349,7.615320178060032,HIGH,CRITICAL,Sanction amount is 7.6x the peer median for 'Roads' in UTTAR PRADESH (2286 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.9th percentile within comparable work-category/state projects
WS/MP18001/2024-2025/163131,"Formation of BT Road from KNF Road to Sathirevu puntha SC Locality via Lockpeet, Luthern High School, Jayapet in Sakhinetipalli village",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,497329.0,495089.0,23.29837934570607,23.403791229877395,HIGH,CRITICAL,Sanction amount is 23.4x the peer median for 'School / Education Infrastructure' in ANDHRA PRADESH (204 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP18254/2024-2025/179556,"Construction of Boundary Wall and Improvement of ground of Belda Stadium at mouza -Susindaa JL. No. 320, Plot No. 422, 423, 427, 428, 429, 430, 431, 437, 438, 442.",Normal/Others,Boundary Walls,Boundary Walls,350000.0,1000000.0,17.059265544955586,5.97075402924597,HIGH,CRITICAL,Sanction amount is 6.0x the peer median for 'Boundary Walls' in WEST BENGAL (63 comparable works) | Description-based classification: Boundary Walls (98% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP866/2024-2025/152256,"Construction of Chennai Girls Higher Secondary School Building (G+1)12 class rooms at Buddha street om Dn -48, Zone-04",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,16.693097404223355,24.99993750015625,HIGH,CRITICAL,Sanction amount is 25.0x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP18058/2025-2026/158435,khiskoli circle kale pase vahivati wardNo.12 Jagannath mandir pase RCC road banavva ni kamgiri,Normal/Others,Roads,Roads,250000.0,250000.0,13.20131119475522,13.20131119475522,HIGH,CRITICAL,Sanction amount is 13.2x the peer median for 'Roads' in GUJARAT (1657 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP827/2025-2026/244989,Development of Pond by Construction of Bath Ghat including Community Toilet with Changing Room and Electric High Mast Lights,Normal/Others,Street Lighting / Electrification,Street Lighting / Electrification,350000.0,289744.0,26.062782677763778,31.482855614419577,HIGH,CRITICAL,Sanction amount is 31.5x the peer median for 'Street Lighting / Electrification' in WEST BENGAL (1893 comparable works) | Description-based classification: Street Lighting / Electrification (98% confidence) | Sanction amount is at the 99.9th percentile within comparable work-category/state projects
WS/MP341/2025-2026/202224,"Installation of Gym Equipment in Lake Park located in 3rd Cross Road, Muthachari Industrial Estate, adjacent to Deepanjali Lake located in Deepanjali Nagar, Vijayanagar Assembly Constituency, Bengaluru - 560039",Normal/Others,Roads,Roads,500000.0,500000.0,5.998340003319993,5.998340003319993,HIGH,CRITICAL,Sanction amount is 6.0x the peer median for 'Roads' in KARNATAKA (553 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.8th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP18155/2024-2025/177940,Construction of Special Repair LR Hoshiarpur Dasuya road to Hoshiarpur Enclave,Normal/Others,Repair / Renovation,Repair / Renovation,240862.0,250000.0,11.573795061923168,11.150751396994412,HIGH,CRITICAL,Sanction amount is 11.2x the peer median for 'Repair / Renovation' in PUNJAB (142 comparable works) | Description-based classification: Repair / Renovation (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP18325/2025-2026/228446,"construction of community hall at Fulsar, Bhavnagar as per plan attached",Normal/Others,Community Buildings,Community Buildings,250000.0,500000.0,43.999824000703995,21.999956000087998,HIGH,CRITICAL,Sanction amount is 22.0x the peer median for 'Community Buildings' in GUJARAT (152 comparable works) | Description-based classification: Community Buildings (98% confidence) | Sanction amount is at the 99.7th percentile within comparable work-category/state projects
WS/MP18063/2025-2026/246454,Construction of interlocking in Khadanja between Road from Kutani to PWD road,Normal/Others,Roads,Roads,350000.0,485685.0,26.81924908785975,19.326816091054713,HIGH,CRITICAL,Sanction amount is 19.3x the peer median for 'Roads' in HARYANA (100 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP18180/2025-2026/204509,Construction of Two Classroom Building at Pinnavasal Panchayat Union Elementary School in Poovalur TP,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,6.6772389616893415,9.9999750000625,HIGH,CRITICAL,Sanction amount is 10.0x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 98.2th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP18198/2025-2026/214766,Allahabad loksabha Kshetra Roads construction,Normal/Others,Other / Unclassified,Other / Unclassified,231884.0,241000.0,72.26426892640748,69.53083182227459,HIGH,CRITICAL,Sanction amount is 69.5x the peer median for 'Other / Unclassified' in UTTAR PRADESH (5899 comparable works) | Sanction amount is at the 99.9th percentile within comparable work-category/state projects
WS/MP18271/2026-2027/269847,Construction of Black Top road from Sannashi Ghat to house of Bikash Barman via Hanim Mia Chowpathi via Bipul Basunia hosue to house of Nagen Sadhu vill  South Patchhara Booth No 4108 under Patchhara GP within Cooch Behar I PS in District Cooch Behar,Normal/Others,Roads,Roads,350000.0,349818.0,18.858554689843743,18.868366212241188,HIGH,CRITICAL,Sanction amount is 18.9x the peer median for 'Roads' in WEST BENGAL (1023 comparable works) | Description-based classification: Roads (98% confidence) | Sanction amount is at the 99.9th percentile within comparable work-category/state projects
WS/MP18309/2024-2025/155212,For supply of water pipeline and water pump for 50 different villages within Dalu Block.,Normal/Others,Water Supply,Water Supply,300000.0,200000.0,33.33322222259259,49.99975000124999,HIGH,CRITICAL,Sanction amount is 50.0x the peer median for 'Water Supply' in MEGHALAYA (33 comparable works) | Description-based classification: Water Supply (92% confidence) | Sanction amount is at the 98.5th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP18309/2024-2025/155216,For supply of water pipeline and water pump in 50 different villages within Gambegre Block.,Normal/Others,Water Supply,Water Supply,300000.0,200000.0,33.33322222259259,49.99975000124999,HIGH,CRITICAL,Sanction amount is 50.0x the peer median for 'Water Supply' in MEGHALAYA (33 comparable works) | Description-based classification: Water Supply (92% confidence) | Sanction amount is at the 98.5th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP352/2025-2026/169147,"Construction of Building for Krishi Bhavan at Ward 5, Udayamperoor GP",Normal/Others,Other / Unclassified,Other / Unclassified,255470.0,240000.0,20.39292131005085,21.7074095524602,HIGH,CRITICAL,Sanction amount is 21.7x the peer median for 'Other / Unclassified' in KERALA (1423 comparable works) | Sanction amount is at the 99.9th percentile within comparable work-category/state projects
WS/MP18355/2025-2026/158193,Construction of anganawadi building at chokkasandra ward No.39,Normal/Others,Other / Unclassified,Other / Unclassified,500000.0,500000.0,4.99999000002,4.99999000002,HIGH,CRITICAL,Sanction amount is 5.0x the peer median for 'Other / Unclassified' in KARNATAKA (933 comparable works) | Sanction amount is at the 98.8th percentile within comparable work-category/state projects | Single vendor payment captures 91.5% of total project disbursals
WS/MP18067/2025-2026/214183,Const. of field Rasta from Hansi Road to Rajbaha No. 8 behind krishna Suman and Anju filed.,Normal/Others,Roads,Roads,350000.0,485685.0,5.699900857426122,4.107532438653781,HIGH,CRITICAL,Sanction amount is 4.1x the peer median for 'Roads' in HARYANA (100 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 98.0th percentile within comparable work-category/state projects
WS/MP484/2025-2026/210691,"CONSTRUCTION OF THREE STOREYED BUILDING FOR KMC PRIMARY SCHOOL (ENGLISH MEDIUM) AT 113 BY 1, KABISEKHAR KALIDAS ROY ROAD, IN WARD 88, UNDER BOROUGH - VIII.",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,350000.0,704860.5,34.2856163268105,17.024621148977495,HIGH,CRITICAL,Sanction amount is 17.0x the peer median for 'School / Education Infrastructure' in WEST BENGAL (232 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP459/2025-2026/149089,"Construction of First Floor in UPHC, Radhakrishnan Salai. Zone - 10, Ward - 133",Normal/Others,Other / Unclassified,Other / Unclassified,599049.0,699258.0,20.031716885068025,17.161023311820085,HIGH,CRITICAL,Sanction amount is 17.2x the peer median for 'Other / Unclassified' in TAMIL NADU (1577 comparable works) | Sanction amount is at the 99.9th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP18208/2024-2025/150097,"Construction work of C.C. road from Dubaula Pachpedwa road to Nabi Ullah's shop till Majhowa Chaudhary pitch road, block Gaur 530 metre",Normal/Others,Roads,Roads,231884.0,866673.0,17.32203462923432,4.634637706911711,HIGH,CRITICAL,Sanction amount is 4.6x the peer median for 'Roads' in UTTAR PRADESH (2286 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.7th percentile within comparable work-category/state projects
WS/MP18271/2026-2027/135277,ESTIMATE FOR CONSTRUCTION OF BLACKTOP ROAD FROM NH-31 NEAR HOUSE OF DHIREN BARMAN TO HOUSE OF BAJLE RAHAMAN VIA HOUSE OF PRAFULLA BARMAN AT GHOGAR KUTHI UNDER CHILAKHANA G.P. WITHIN TUFANGANJ-I P.S.,Normal/Others,Roads,Roads,350000.0,349818.0,16.929405915983097,16.93821376197405,HIGH,CRITICAL,Sanction amount is 16.9x the peer median for 'Roads' in WEST BENGAL (1023 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.8th percentile within comparable work-category/state projects
WS/MP18004/2025-2026/221036,"Providing of CC road retaining wall  calvert from 0 0KM to 0 250 KM from Gondivalasa Road to Morriguda of Dumbriguda Mandal, ASR dt",Normal/Others,Boundary Walls,Boundary Walls,497329.0,500000.0,8.022841976152655,7.97998404003192,HIGH,CRITICAL,Sanction amount is 8.0x the peer median for 'Boundary Walls' in ANDHRA PRADESH (111 comparable works) | Description-based classification: Boundary Walls (98% confidence) | Sanction amount is at the 99.1th percentile within comparable work-category/state projects
WS/MP18271/2026-2027/135284,ESTIMATE FOR CONSTRUCTION OF BLACKTOP ROAD FROM BABUMIAH TO CHANDI SAL ROAD VIA SASHADHAR ROY HOUSE AT DUDHER KUTHI DEWANBOSH UNDER SUKTABARI G.P. WITHIN COOCH BEHAR-I P.S.,Normal/Others,Roads,Roads,350000.0,349818.0,16.278159205259414,16.286628227740632,HIGH,CRITICAL,Sanction amount is 16.3x the peer median for 'Roads' in WEST BENGAL (1023 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.7th percentile within comparable work-category/state projects
WS/MP18019/2024-2025/137520,"Construction of Auditorium Hall cum Guest House at Phonglangso Lumding Road, near Arboretum (total @ Rs. 1.26 cr) 1st Installment Rs. 30.00 L",Normal/Others,Roads,Roads,500000.0,500000.0,5.999988000024,5.999988000024,HIGH,CRITICAL,Sanction amount is 6.0x the peer median for 'Roads' in ASSAM (124 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.2th percentile within comparable work-category/state projects
WS/MP18224/2025-2026/198384,kanpur nagar ke vibhinna sarvjanik sthano par 100 nag steel benches ka adhisthapan karya,Normal/Others,Other / Unclassified,Other / Unclassified,231884.0,241000.0,17.34144942536171,16.68549923029365,HIGH,CRITICAL,Sanction amount is 16.7x the peer median for 'Other / Unclassified' in UTTAR PRADESH (5899 comparable works) | Sanction amount is at the 99.1th percentile within comparable work-category/state projects
WS/MP18055/2024-2025/173052,construction and civil work of indian red cross society new building work part 3,Normal/Others,Other / Unclassified,Other / Unclassified,250000.0,279208.0,19.99992000032,17.90773220060958,HIGH,CRITICAL,Sanction amount is 17.9x the peer median for 'Other / Unclassified' in GUJARAT (3229 comparable works) | Sanction amount is at the 99.8th percentile within comparable work-category/state projects
WS/MP866/2025-2026/213689,"Construction of C. Kalyanapuram Chennai Higher secondary school compound wall and entrance Arch work in dn 46, U11, Zone 4",Normal/Others,Boundary Walls,Boundary Walls,599049.0,1000000.0,8.271429763792671,4.954995045004955,HIGH,CRITICAL,Sanction amount is 5.0x the peer median for 'Boundary Walls' in TAMIL NADU (55 comparable works) | Description-based classification: Boundary Walls (98% confidence) | Sanction amount is at the 98.2th percentile within comparable work-category/state projects
WS/MP244/2025-2026/209004,"construction of paver block road with guard wall from lt. mohadev pal house to naru saha house via ajay dey house to subodh basak house, vivekananda para, ward no 24, jalpaiguri municipality",Normal/Others,Roads,Roads,350000.0,349818.0,9.065745526441352,9.070462153284984,HIGH,CRITICAL,Sanction amount is 9.1x the peer median for 'Roads' in WEST BENGAL (1023 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 98.0th percentile within comparable work-category/state projects
